year,category,nominationId,nomineeNames,nomineeIds,nominatorNames,nominatorIds,showUrl,listUrl
1975,physics,25554,Anatole Abragam,11028,Gabriel Nicolas Simonoff,19813,https://www.nobelprize.org/nomination/archive/show.php?id=25554&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25553,Anatole Abragam,11028,Jean Roche,7790,https://www.nobelprize.org/nomination/archive/show.php?id=25553&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25552,Anatole Abragam,11028,C. Robert,19811,https://www.nobelprize.org/nomination/archive/show.php?id=25552&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25551,Anatole Abragam,11028,Henriette Mathieu-Faraggi,19810,https://www.nobelprize.org/nomination/archive/show.php?id=25551&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25550,Anatole Abragam,11028,Jacques Friedel,14242,https://www.nobelprize.org/nomination/archive/show.php?id=25550&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25327,Zhores Ivanovich Alferov,19814,Vladimir Maksimovich Tuchkevich,19815,https://www.nobelprize.org/nomination/archive/show.php?id=25327&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25557,Pierre Victor Auger,561,Jean-Pierre Lehman,15463,https://www.nobelprize.org/nomination/archive/show.php?id=25557&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25556,Pierre Victor Auger,561,Alfred Kastler,4727,https://www.nobelprize.org/nomination/archive/show.php?id=25556&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25555,Pierre Victor Auger,561,Theodor lonescu,19817,https://www.nobelprize.org/nomination/archive/show.php?id=25555&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25329,Brebis Bleaney,10746,Geoffrey Victor Herbert Wilson,19821,https://www.nobelprize.org/nomination/archive/show.php?id=25329&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25560,Nikolai Nikolaevic Bogoljubov,10921,Dmitry Vasilevich Shirkov,15788,https://www.nobelprize.org/nomination/archive/show.php?id=25560&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25559,Nikolai Nikolaevic Bogoljubov,10921,Anatoly Alekseyevich Logunov,19825,https://www.nobelprize.org/nomination/archive/show.php?id=25559&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25558,Nikolai Nikolaevic Bogoljubov,10921,Alexander Sergeevich Davidov,19823,https://www.nobelprize.org/nomination/archive/show.php?id=25558&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25331,David Allan Bromley,13292,Walter Greiner,16002,https://www.nobelprize.org/nomination/archive/show.php?id=25331&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25332,Bernard Cagnac,19829,Pierre Victor Auger,561,https://www.nobelprize.org/nomination/archive/show.php?id=25332&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25333,Raimond Bernard René Castaing,14426,Roland Kiessling,19831,https://www.nobelprize.org/nomination/archive/show.php?id=25333&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25562,Subramanyan Chandrasekhar,10748,Geoffrey Ronald Burbidge,13324,https://www.nobelprize.org/nomination/archive/show.php?id=25562&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25561,Subramanyan Chandrasekhar,10748,Eleanor Margaret Burbidge,19833,https://www.nobelprize.org/nomination/archive/show.php?id=25561&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25335,Geoffrey Foucar Chew,14494,William Ronald Frazer,19836,https://www.nobelprize.org/nomination/archive/show.php?id=25335&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25336,Samuel Cornette Collins,19837,Richard Stevenson,19838,https://www.nobelprize.org/nomination/archive/show.php?id=25336&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25337,Horace Richard Crane,10526,Michael Longo,19840,https://www.nobelprize.org/nomination/archive/show.php?id=25337&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25338,Pierre Douzou,19841,J. Chambron,19842,https://www.nobelprize.org/nomination/archive/show.php?id=25338&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25564,Gaston Dupouy,13836,J. Trinquier,19845,https://www.nobelprize.org/nomination/archive/show.php?id=25564&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25563,Gaston Dupouy,13836,André Degeilh,19844,https://www.nobelprize.org/nomination/archive/show.php?id=25563&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25566,Paul Peter Ewald,14560,Dorothy Crowfoot Hodgkin,10685,https://www.nobelprize.org/nomination/archive/show.php?id=25566&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25565,Paul Peter Ewald,14560,Erwin-Félix Lewy-Bertaut,19847,https://www.nobelprize.org/nomination/archive/show.php?id=25565&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25341,Siegfried Flügge,19849,Stig Olof Lundqvist,19850,https://www.nobelprize.org/nomination/archive/show.php?id=25341&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25569,Herbert Fröhlich,10566,Max Wagner,19854,https://www.nobelprize.org/nomination/archive/show.php?id=25569&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25568,Herbert Fröhlich,10566,Bela Szigeti,19853,https://www.nobelprize.org/nomination/archive/show.php?id=25568&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25567,Herbert Fröhlich,10566,Serge Nikitine,13148,https://www.nobelprize.org/nomination/archive/show.php?id=25567&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25343,Witali Iossifowitsch Goldanskij,16117,Benjamin Hogg,19856,https://www.nobelprize.org/nomination/archive/show.php?id=25343&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25344,Cornelis Jacobus Gorter,3559,N.N.,,https://www.nobelprize.org/nomination/archive/show.php?id=25344&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25345,Ali Javan,13137,Herbert Walther,19860,https://www.nobelprize.org/nomination/archive/show.php?id=25345&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25346,Kjell Johnsen,18162,Allan Krisch,19862,https://www.nobelprize.org/nomination/archive/show.php?id=25346&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25347,Ernst Pascual Jordan,18380,José Leite Lopes,18185,https://www.nobelprize.org/nomination/archive/show.php?id=25347&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25574,Pyotr Leonidovich Kapitsa,4706,Aleksandr Mikhailovich Prokhorov [Prockorov],11053,https://www.nobelprize.org/nomination/archive/show.php?id=25574&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25573,Pyotr Leonidovich Kapitsa,4706,Lénárd Pál,19869,https://www.nobelprize.org/nomination/archive/show.php?id=25573&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25572,Pyotr Leonidovich Kapitsa,4706,Ilya Mikhailovich Lifshitz,19868,https://www.nobelprize.org/nomination/archive/show.php?id=25572&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25571,Pyotr Leonidovich Kapitsa,4706,Franz Ferdinand Cap,14492,https://www.nobelprize.org/nomination/archive/show.php?id=25571&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25570,Pyotr Leonidovich Kapitsa,4706,Viktor-Andrey Stanislavovich Borovik-Romanov,19866,https://www.nobelprize.org/nomination/archive/show.php?id=25570&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25349,Leonid Veniaminovich Keldysh,19871,Joachim Auth,19872,https://www.nobelprize.org/nomination/archive/show.php?id=25349&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25576,Oskar Benjamin Klein,4889,Inga Fischer-Hjalmars,18167,https://www.nobelprize.org/nomination/archive/show.php?id=25576&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25575,Oskar Benjamin Klein,4889,Olof Sandy Gunnar Brulin,18166,https://www.nobelprize.org/nomination/archive/show.php?id=25575&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25581,Ryogo Kubo,15454,N.N.,,https://www.nobelprize.org/nomination/archive/show.php?id=25581&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25580,Ryogo Kubo,15454,N.N.,,https://www.nobelprize.org/nomination/archive/show.php?id=25580&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25579,Ryogo Kubo,15454,Shoichi Mase,19879,https://www.nobelprize.org/nomination/archive/show.php?id=25579&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25578,Ryogo Kubo,15454,W Ludwig,18175,https://www.nobelprize.org/nomination/archive/show.php?id=25578&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25577,Ryogo Kubo,15454,Otto Krisement,19877,https://www.nobelprize.org/nomination/archive/show.php?id=25577&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
