participant_id,display_name,strategy_id,simulated,starting_cash,ending_equity,cash,liquidation_value,realized_pnl,unrealized_pnl,fees,trade_count,open_positions,roi,max_drawdown,settled_round_trips,wins,losses,win_rate_settled,rank,tied,competition_id
sim-ada-hold,Ada Hold,hold_cash,True,10000.0000,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0,0,,1,True,nobel-forward-primary
sim-basil-favorite,Basil Favorite,favorite_hold,True,10000.0000,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0,0,,1,True,nobel-forward-primary
sim-jonas-exit,Jonas Exit,favorite_exit,True,10000.0000,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0,0,,1,True,nobel-forward-primary
sim-gina-tight,Gina Tight,tight_value,True,10000.0000,8244.5940,6236.0500,2008.5440,0.0000,-1755.4060,217.2100,71,71,-0.1755,1755.4060,0,0,0,,4,False,nobel-forward-primary
sim-kira-null,Kira Null,seeded_null,True,10000.0000,8131.3050,4570.0850,3561.2200,0.0000,-1868.6950,132.0600,67,67,-0.1869,1868.6950,0,0,0,,5,False,nobel-forward-primary
sim-cleo-longshot,Cleo Longshot,longshot_hold,True,10000.0000,7101.6000,4689.1000,2412.5000,0.0000,-2898.4000,310.9000,94,94,-0.2898,2898.4000,0,0,0,,6,False,nobel-forward-primary
sim-elena-revert,Elena Revert,mean_revert,True,10000.0000,6456.5200,5671.9200,784.6000,-2431.2800,-1112.2000,530.7100,166,32,-0.3543,3543.4800,67,0,67,0.0000,7,False,nobel-forward-primary
sim-hiro-slice,Hiro Slice,diversified_slice,True,10000.0000,4520.5840,1922.5700,2598.0140,0.0000,-5479.4160,458.1500,126,126,-0.5479,5479.4160,0,0,0,,8,False,nobel-forward-primary
sim-ines-volume,Ines Volume,volume_momentum,True,10000.0000,3495.2850,197.1950,3298.0900,-5458.8470,-1045.8680,1451.5000,679,57,-0.6505,6504.7150,311,15,296,0.0482,9,False,nobel-forward-primary
sim-dmitri-momentum,Dmitri Momentum,momentum,True,10000.0000,628.4140,0.2340,628.1800,-9250.4870,-121.0990,2063.9500,1397,39,-0.9372,9371.5860,679,11,668,0.0162,10,False,nobel-forward-primary
sim-farid-fade,Farid Fade,contrarian,True,10000.0000,411.4620,0.0470,411.4150,-9282.4630,-306.0750,2146.6200,1378,44,-0.9589,9596.2880,667,14,652,0.0210,11,False,nobel-forward-primary
sim-ada-hold,Ada Hold,hold_cash,True,10000.0000,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0,0,,1,False,nobel-settled-primary
sim-jonas-exit,Jonas Exit,favorite_exit,True,10000.0000,9996.5500,9996.5500,0.0000,-3.4500,0.0000,6.1500,3,0,-0.0003,43.9600,2,1,1,0.5000,2,False,nobel-settled-primary
sim-basil-favorite,Basil Favorite,favorite_hold,True,10000.0000,9939.0100,9939.0100,0.0000,-60.9900,0.0000,3.8400,2,0,-0.0061,60.9900,2,1,1,0.5000,3,False,nobel-settled-primary
sim-kira-null,Kira Null,seeded_null,True,10000.0000,9590.5700,9590.5700,0.0000,-409.4300,0.0000,66.2700,47,0,-0.0409,2844.4300,47,20,27,0.4255,4,False,nobel-settled-primary
sim-elena-revert,Elena Revert,mean_revert,True,10000.0000,9273.2300,9273.2300,0.0000,-726.7700,0.0000,192.7000,49,0,-0.0727,726.7700,28,3,25,0.1071,5,False,nobel-settled-primary
sim-hiro-slice,Hiro Slice,diversified_slice,True,10000.0000,9223.9200,9223.9200,0.0000,-776.0800,0.0000,126.2800,32,0,-0.0776,2276.0800,32,3,29,0.0938,6,False,nobel-settled-primary
sim-gina-tight,Gina Tight,tight_value,True,10000.0000,9094.0200,9094.0200,0.0000,-905.9800,0.0000,111.4400,56,0,-0.0906,1905.9800,56,2,54,0.0357,7,False,nobel-settled-primary
sim-cleo-longshot,Cleo Longshot,longshot_hold,True,10000.0000,8757.7600,8757.7600,0.0000,-1242.2400,0.0000,162.2400,57,0,-0.1242,2742.2400,57,3,54,0.0526,8,False,nobel-settled-primary
sim-ines-volume,Ines Volume,volume_momentum,True,10000.0000,6510.7100,6510.7100,0.0000,-3489.2900,0.0000,1235.9100,541,0,-0.3489,7480.2900,292,45,247,0.1541,9,False,nobel-settled-primary
sim-dmitri-momentum,Dmitri Momentum,momentum,True,10000.0000,3255.0100,3255.0100,0.0000,-6744.9900,0.0000,2001.5900,935,0,-0.6745,9892.9900,486,37,449,0.0761,10,False,nobel-settled-primary
sim-farid-fade,Farid Fade,contrarian,True,10000.0000,1548.0700,1548.0700,0.0000,-8451.9300,0.0000,2261.3100,1032,0,-0.8452,9999.9300,538,24,514,0.0446,11,False,nobel-settled-primary
sim-ada-hold,Ada Hold,hold_cash,True,10000.0000,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0,0,,1,False,panel-settled-primary
sim-jonas-exit,Jonas Exit,favorite_exit,True,10000.0000,9778.6800,9778.6800,0.0000,-221.3200,0.0000,58.7800,30,0,-0.0221,221.3200,16,5,11,0.3125,2,False,panel-settled-primary
sim-basil-favorite,Basil Favorite,favorite_hold,True,10000.0000,9742.4000,9742.4000,0.0000,-257.6000,0.0000,31.3400,16,0,-0.0258,1470.6000,16,10,6,0.6250,3,False,panel-settled-primary
sim-kira-null,Kira Null,seeded_null,True,10000.0000,9353.3700,9353.3700,0.0000,-646.6300,0.0000,90.6500,37,0,-0.0647,2377.6300,37,9,28,0.2432,4,False,panel-settled-primary
sim-cleo-longshot,Cleo Longshot,longshot_hold,True,10000.0000,8772.6000,8772.6000,0.0000,-1227.4000,0.0000,127.4000,37,0,-0.1227,2227.4000,37,2,35,0.0541,5,False,panel-settled-primary
sim-gina-tight,Gina Tight,tight_value,True,10000.0000,8642.2700,8642.2700,0.0000,-1357.7300,0.0000,156.3600,45,0,-0.1358,3041.7300,45,6,39,0.1333,6,False,panel-settled-primary
sim-hiro-slice,Hiro Slice,diversified_slice,True,10000.0000,8264.9200,8264.9200,0.0000,-1735.0800,0.0000,177.4300,45,0,-0.1735,4034.0800,45,11,34,0.2444,7,False,panel-settled-primary
sim-elena-revert,Elena Revert,mean_revert,True,10000.0000,7884.7200,7884.7200,0.0000,-2115.2800,0.0000,744.5200,216,0,-0.2115,2172.0800,119,25,94,0.2101,8,False,panel-settled-primary
sim-ines-volume,Ines Volume,volume_momentum,True,10000.0000,3609.0500,3609.0500,0.0000,-6390.9500,0.0000,2353.4400,1045,0,-0.6391,9914.4400,546,98,448,0.1795,9,False,panel-settled-primary
sim-dmitri-momentum,Dmitri Momentum,momentum,True,10000.0000,3223.0200,3223.0200,0.0000,-6776.9800,0.0000,2428.1900,1072,0,-0.6777,9885.9800,555,81,474,0.1459,10,False,panel-settled-primary
sim-farid-fade,Farid Fade,contrarian,True,10000.0000,1657.3600,1657.3600,0.0000,-8342.6400,0.0000,4089.6900,1429,0,-0.8343,9406.7000,739,153,586,0.2070,11,False,panel-settled-primary
sim-ada-hold,Ada Hold,hold_cash,True,10000.0000,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0,0,,1,True,nobel-forward-fee-off
sim-basil-favorite,Basil Favorite,favorite_hold,True,10000.0000,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0,0,,1,True,nobel-forward-fee-off
sim-jonas-exit,Jonas Exit,favorite_exit,True,10000.0000,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0,0,,1,True,nobel-forward-fee-off
sim-gina-tight,Gina Tight,tight_value,True,10000.0000,8461.8040,6453.2600,2008.5440,0.0000,-1538.1960,0.0000,71,71,-0.1538,1538.1960,0,0,0,,4,False,nobel-forward-fee-off
sim-kira-null,Kira Null,seeded_null,True,10000.0000,8263.3650,4702.1450,3561.2200,0.0000,-1736.6350,0.0000,67,67,-0.1737,1736.6350,0,0,0,,5,False,nobel-forward-fee-off
sim-cleo-longshot,Cleo Longshot,longshot_hold,True,10000.0000,7412.5000,5000.0000,2412.5000,0.0000,-2587.5000,0.0000,94,94,-0.2588,2587.5000,0,0,0,,6,False,nobel-forward-fee-off
sim-elena-revert,Elena Revert,mean_revert,True,10000.0000,6987.2300,6202.6300,784.6000,-2007.6900,-1005.0800,0.0000,166,32,-0.3013,3012.7700,67,1,65,0.0149,7,False,nobel-forward-fee-off
sim-hiro-slice,Hiro Slice,diversified_slice,True,10000.0000,4978.7340,2380.7200,2598.0140,0.0000,-5021.2660,0.0000,126,126,-0.5021,5021.2660,0,0,0,,8,False,nobel-forward-fee-off
sim-ines-volume,Ines Volume,volume_momentum,True,10000.0000,4946.7850,1648.6950,3298.0900,-4120.8970,-932.3180,0.0000,679,57,-0.5053,5053.2150,311,19,286,0.0611,9,False,nobel-forward-fee-off
sim-dmitri-momentum,Dmitri Momentum,momentum,True,10000.0000,1200.2000,0.1780,1200.0220,-8478.9350,-320.8650,0.0000,1464,48,-0.8800,8799.8000,708,18,678,0.0254,10,False,nobel-forward-fee-off
sim-farid-fade,Farid Fade,contrarian,True,10000.0000,813.3350,0.0140,813.3210,-8746.3400,-440.3250,0.0000,1565,57,-0.9187,9199.1450,754,25,696,0.0332,11,False,nobel-forward-fee-off
sim-ada-hold,Ada Hold,hold_cash,True,10000.0000,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0,0,,1,True,nobel-forward-size-250
sim-basil-favorite,Basil Favorite,favorite_hold,True,10000.0000,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0,0,,1,True,nobel-forward-size-250
sim-jonas-exit,Jonas Exit,favorite_exit,True,10000.0000,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0,0,,1,True,nobel-forward-size-250
sim-gina-tight,Gina Tight,tight_value,True,10000.0000,8106.6800,6084.1800,2022.5000,0.0000,-1893.3200,223.8200,71,71,-0.1893,1893.3200,0,0,0,,4,False,nobel-forward-size-250
sim-kira-null,Kira Null,seeded_null,True,10000.0000,7385.1270,0.0770,7385.0500,0.0000,-2614.8730,145.9400,65,65,-0.2615,2614.8730,0,0,0,,5,False,nobel-forward-size-250
sim-cleo-longshot,Cleo Longshot,longshot_hold,True,10000.0000,7101.6000,4689.1000,2412.5000,0.0000,-2898.4000,310.9000,94,94,-0.2898,2898.4000,0,0,0,,6,False,nobel-forward-size-250
sim-elena-revert,Elena Revert,mean_revert,True,10000.0000,6276.8800,5316.8800,960.0000,-2551.0400,-1172.0800,568.6200,166,32,-0.3723,3723.1200,67,0,67,0.0000,7,False,nobel-forward-size-250
sim-hiro-slice,Hiro Slice,diversified_slice,True,10000.0000,4143.0900,1346.5900,2796.5000,0.0000,-5856.9100,483.4100,126,126,-0.5857,5856.9100,0,0,0,,8,False,nobel-forward-size-250
sim-ines-volume,Ines Volume,volume_momentum,True,10000.0000,3134.0370,0.0320,3134.0050,-6259.4380,-606.5250,1668.1100,657,53,-0.6866,6865.9630,302,15,287,0.0497,9,False,nobel-forward-size-250
sim-dmitri-momentum,Dmitri Momentum,momentum,True,10000.0000,852.0960,0.1500,851.9460,-9041.5010,-106.4030,2304.8400,1083,25,-0.9148,9147.9040,529,10,518,0.0189,10,False,nobel-forward-size-250
sim-farid-fade,Farid Fade,contrarian,True,10000.0000,157.2940,0.0330,157.2610,-9667.5000,-175.2060,2401.4400,1258,40,-0.9843,9862.1060,609,9,599,0.0148,11,False,nobel-forward-size-250
sim-jonas-exit,Jonas Exit,favorite_exit,True,10000.0000,10002.7000,10002.7000,0.0000,2.7000,0.0000,0.0000,3,0,0.0003,39.9000,2,1,1,0.5000,1,False,nobel-settled-fee-off
sim-ada-hold,Ada Hold,hold_cash,True,10000.0000,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0,0,,2,False,nobel-settled-fee-off
sim-basil-favorite,Basil Favorite,favorite_hold,True,10000.0000,9942.8500,9942.8500,0.0000,-57.1500,0.0000,0.0000,2,0,-0.0057,57.1500,2,1,1,0.5000,3,False,nobel-settled-fee-off
sim-kira-null,Kira Null,seeded_null,True,10000.0000,9656.8400,9656.8400,0.0000,-343.1600,0.0000,0.0000,47,0,-0.0343,2778.1600,47,20,27,0.4255,4,False,nobel-settled-fee-off
sim-elena-revert,Elena Revert,mean_revert,True,10000.0000,9465.9300,9465.9300,0.0000,-534.0700,0.0000,0.0000,49,0,-0.0534,534.0700,28,3,24,0.1071,5,False,nobel-settled-fee-off
sim-hiro-slice,Hiro Slice,diversified_slice,True,10000.0000,9350.2000,9350.2000,0.0000,-649.8000,0.0000,0.0000,32,0,-0.0650,2149.8000,32,3,29,0.0938,6,False,nobel-settled-fee-off
sim-gina-tight,Gina Tight,tight_value,True,10000.0000,9205.4600,9205.4600,0.0000,-794.5400,0.0000,0.0000,56,0,-0.0795,1794.5400,56,2,54,0.0357,7,False,nobel-settled-fee-off
sim-cleo-longshot,Cleo Longshot,longshot_hold,True,10000.0000,8920.0000,8920.0000,0.0000,-1080.0000,0.0000,0.0000,57,0,-0.1080,2580.0000,57,3,54,0.0526,8,False,nobel-settled-fee-off
