p,b,f,s,u,r,eq,cash,mtm,real,unreal,fees,n,sett,w,l,trips,wr,dd,roi,mkts,open,t0,t1
sim-b011-091,batch-011,placebo_event_leader,placebo-event-leader-b011-091,nobel_forward,1,10100.0000,9693.9200,406.0800,0.0000,100.0000,6.9200,3,0,0,0,0,,5.1800,0.0100,3,3,1760500800,1785729600
sim-b011-095,batch-011,placebo_event_leader,placebo-event-leader-b011-095,nobel_forward,1,10100.0000,9693.9200,406.0800,0.0000,100.0000,6.9200,3,0,0,0,0,,5.1800,0.0100,3,3,1760500800,1785729600
sim-b013-079,batch-013,uniform_field_prior,uniform-field-prior-b013-079,nobel_forward,1,10100.0000,9693.9200,406.0800,0.0000,100.0000,6.9200,3,0,0,0,0,,5.1800,0.0100,3,3,1760500800,1785729600
sim-b013-082,batch-013,uniform_field_prior,uniform-field-prior-b013-082,nobel_forward,4,10077.6800,9795.4400,282.2400,0.0000,77.6800,4.7600,2,0,0,0,0,,5.1800,0.0078,2,2,1760500800,1785729600
sim-b013-048,batch-013,learned_base_rate,learned-base-rate-b013-048,nobel_forward,5,10071.7600,9593.3600,478.4000,0.0000,71.7600,8.5200,4,0,0,0,0,,15.1200,0.0072,4,4,1760500800,1790262000
sim-b013-084,batch-013,uniform_field_prior,uniform-field-prior-b013-084,nobel_forward,6,10070.3100,9593.6700,476.6400,0.0000,70.3100,8.4400,4,0,0,0,0,,15.1200,0.0070,4,4,1760500800,1790262000
sim-b013-081,batch-013,uniform_field_prior,uniform-field-prior-b013-081,nobel_forward,7,10062.6500,9493.0200,569.6300,0.0000,62.6500,9.0100,5,0,0,0,0,,15.1200,0.0063,5,5,1760500800,1790262000
sim-b013-046,batch-013,learned_base_rate,learned-base-rate-b013-046,nobel_forward,8,10048.8300,9595.2400,453.5900,0.0000,48.8300,6.0200,4,0,0,0,0,,8.9000,0.0049,4,4,1760500800,1789617600
sim-b017-064,batch-017,cash_reserve_gate,cash-reserve-gate-b017-064,nobel_forward,9,10035.9000,8996.8000,1039.1000,0.0000,35.9000,8.2600,10,0,0,0,0,,4.0800,0.0036,10,10,1760500800,1778904000
sim-b013-013,batch-013,learned_bucket_calibration,learned-bucket-calibration-b013-013,nobel_forward,10,10025.9210,7877.1830,2148.7380,0.0000,25.9210,17.5300,22,0,0,0,0,,10.7900,0.0026,22,22,1760500800,1790136000
sim-b013-032,batch-013,learned_base_rate,learned-base-rate-b013-032,nobel_forward,11,10025.7200,9093.2600,932.4600,0.0000,25.7200,9.1700,9,0,0,0,0,,10.7900,0.0026,9,9,1760500800,1785211200
sim-b013-034,batch-013,learned_base_rate,learned-base-rate-b013-034,nobel_forward,11,10025.7200,9093.2600,932.4600,0.0000,25.7200,9.1700,9,0,0,0,0,,10.7900,0.0026,9,9,1760500800,1785211200
sim-b015-054,batch-015,liquidity_gate,liquidity-gate-b015-054,nobel_forward,13,10019.5880,8597.2320,1422.3560,0.0000,19.5880,6.9900,14,0,0,0,0,,5.2500,0.0020,14,14,1763096400,1789693200
sim-b013-086,batch-013,uniform_field_prior,uniform-field-prior-b013-086,nobel_forward,14,10019.1700,8886.6500,1132.5200,0.0000,19.1700,18.1600,11,0,0,0,0,,15.1200,0.0019,11,11,1760500800,1790262000
sim-b015-056,batch-015,liquidity_gate,liquidity-gate-b015-056,nobel_forward,15,10016.9800,9497.6400,519.3400,0.0000,16.9800,3.5000,5,0,0,0,0,,4.1300,0.0017,5,5,1763096400,1789531200
